File: qperf-go
Type: cpu
Time: Nov 16, 2023 at 7:29pm (CET)
Duration: 5.50s, Total samples = 10.02s (182.02%)
Showing nodes accounting for 10.02s, 100% of 10.02s total
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/flowcontrol.(*streamFlowController).shouldQueueWindowUpdate (inline)
         0     0%   100%      0.05s   0.5%  github.com/quic-go/quic-go/internal/handshake.(*aesHeaderProtector).DecryptHeader
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/handshake.(*aesHeaderProtector).EncryptHeader
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/handshake.(*updatableAEAD).EncryptHeader
         0     0%   100%      0.92s  9.18%  github.com/quic-go/quic-go/internal/handshake.(*updatableAEAD).Open
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/handshake.(*updatableAEAD).Seal
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/handshake.(*xorNonceAEAD).Seal
         0     0%   100%      0.03s   0.3%  github.com/quic-go/quic-go/internal/logutils.ConvertAckFrame (inline)
         0     0%   100%      0.09s   0.9%  github.com/quic-go/quic-go/internal/logutils.ConvertFrame
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/utils.bigEndian.Uint16
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/wire.(*AckFrame).Append
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/wire.(*StreamFrame).PutBack
         0     0%   100%      0.38s  3.79%  github.com/quic-go/quic-go/internal/wire.(*frameParser).ParseNext
         0     0%   100%      0.38s  3.79%  github.com/quic-go/quic-go/internal/wire.(*frameParser).parseNext
         0     0%   100%      0.18s  1.80%  github.com/quic-go/quic-go/internal/wire.GetStreamFrame (inline)
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/wire.IsVersionNegotiationPacket (inline)
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/wire.putStreamFrame
         0     0%   100%      1.56s 15.57%  github.com/quic-go/quic-go/internal/xads.(*receiveStream).Read
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/logging.(*connTracerMultiplexer).UpdatedMetrics
         0     0%   100%      1.78s 17.76%  golang.org/x/net/internal/socket.(*Conn).RecvMsgs (inline)
         0     0%   100%      0.01s   0.1%  golang.org/x/net/internal/socket.(*mmsgTmpsPool).Get
         0     0%   100%      1.38s 13.77%  golang.org/x/net/internal/socket.(*syscaller).recvmmsgF
         0     0%   100%      0.01s   0.1%  golang.org/x/net/internal/socket.ioComplete
         0     0%   100%      0.21s  2.10%  golang.org/x/net/internal/socket.mmsghdrs.unpack
         0     0%   100%      1.37s 13.67%  golang.org/x/net/internal/socket.recvmmsg
         0     0%   100%      1.78s 17.76%  golang.org/x/net/ipv4.(*payloadHandler).ReadBatch
         0     0%   100%      0.02s   0.2%  internal/poll.(*FD).writeLock (inline)
         0     0%   100%      0.01s   0.1%  internal/poll.(*pollDesc).prepareRead
         0     0%   100%      1.57s 15.67%  io.CopyBuffer
         0     0%   100%      0.12s  1.20%  io.ReadFull (inline)
         0     0%   100%      1.57s 15.67%  io.copyBuffer
         0     0%   100%      0.79s  7.88%  net.(*UDPConn).WriteMsgUDP
         0     0%   100%      0.79s  7.88%  net.(*UDPConn).writeMsg
         0     0%   100%      0.79s  7.88%  net.(*netFD).writeMsg
         0     0%   100%      1.42s 14.17%  net.(*rawConn).Read
         0     0%   100%      0.02s   0.2%  qperf-go/common.StateConnectionTracer.ReceivedShortHeaderPacket
         0     0%   100%      0.01s   0.1%  qperf-go/common.StateConnectionTracer.UpdatedMetrics
         0     0%   100%      0.01s   0.1%  qperf-go/common/utils.funcToWriterStruct.Write
         0     0%   100%      1.57s 15.67%  qperf-go/perf/perf_client.(*responseReceiveStream).run
         0     0%   100%      1.57s 15.67%  qperf-go/perf/perf_client.newResponseReceiveStream.func1
         0     0%   100%      0.03s   0.3%  runtime.(*mcache).nextFree
         0     0%   100%      0.03s   0.3%  runtime.(*mcache).refill
         0     0%   100%      0.01s   0.1%  runtime.(*mcentral).cacheSpan
         0     0%   100%      0.01s   0.1%  runtime.(*mcentral).grow
         0     0%   100%      0.02s   0.2%  runtime.(*mcentral).uncacheSpan
         0     0%   100%      0.01s   0.1%  runtime.(*mheap).alloc
         0     0%   100%      0.01s   0.1%  runtime.(*mheap).alloc.func1
         0     0%   100%      0.01s   0.1%  runtime.(*mheap).allocSpan
         0     0%   100%      0.01s   0.1%  runtime.(*mheap).nextSpanForSweep
         0     0%   100%      0.02s   0.2%  runtime.(*pageAlloc).scavenge
         0     0%   100%      0.02s   0.2%  runtime.(*pageAlloc).scavenge.func1
         0     0%   100%      0.02s   0.2%  runtime.(*pageAlloc).scavengeOne
         0     0%   100%      0.02s   0.2%  runtime.(*scavengerState).init.func2
         0     0%   100%      0.02s   0.2%  runtime.(*scavengerState).run
         0     0%   100%      0.01s   0.1%  runtime.(*sweepLocked).sweep
         0     0%   100%      0.01s   0.1%  runtime.acquirep
         0     0%   100%      0.01s   0.1%  runtime.assertE2I2
         0     0%   100%      0.02s   0.2%  runtime.bgscavenge
         0     0%   100%      0.02s   0.2%  runtime.bgsweep
         0     0%   100%      0.02s   0.2%  runtime.checkRunqsNoP
         0     0%   100%      0.07s   0.7%  runtime.convI2I
         0     0%   100%      0.02s   0.2%  runtime.entersyscall
         0     0%   100%      0.01s   0.1%  runtime.findObject
         0     0%   100%      0.02s   0.2%  runtime.finishsweep_m
         0     0%   100%      0.01s   0.1%  runtime.forEachP
         0     0%   100%      0.01s   0.1%  runtime.funcspdelta
         0     0%   100%      0.12s  1.20%  runtime.futexwakeup
         0     0%   100%      0.01s   0.1%  runtime.gcAssistAlloc
         0     0%   100%      0.01s   0.1%  runtime.gcAssistAlloc.func1
         0     0%   100%      0.01s   0.1%  runtime.gcAssistAlloc1
         0     0%   100%      0.12s  1.20%  runtime.gcBgMarkWorker
         0     0%   100%      0.11s  1.10%  runtime.gcBgMarkWorker.func2
         0     0%   100%      0.11s  1.10%  runtime.gcDrain
         0     0%   100%      0.01s   0.1%  runtime.gcDrainN
         0     0%   100%      0.01s   0.1%  runtime.gcMarkDone
         0     0%   100%      0.01s   0.1%  runtime.gcMarkDone.func1
         0     0%   100%      0.02s   0.2%  runtime.gcStart
         0     0%   100%      0.02s   0.2%  runtime.gcStart.func1
         0     0%   100%      0.02s   0.2%  runtime.gentraceback
         0     0%   100%      0.01s   0.1%  runtime.goparkunlock
         0     0%   100%      0.01s   0.1%  runtime.gopreempt_m
         0     0%   100%      0.11s  1.10%  runtime.goready.func1
         0     0%   100%      0.01s   0.1%  runtime.goschedImpl
         0     0%   100%      0.01s   0.1%  runtime.growslice
         0     0%   100%      0.10s     1%  runtime.lock (inline)
         0     0%   100%      0.10s     1%  runtime.lockWithRank (inline)
         0     0%   100%      0.07s   0.7%  runtime.mPark (inline)
         0     0%   100%      0.01s   0.1%  runtime.mapdelete_fast64
         0     0%   100%      0.03s   0.3%  runtime.markroot
         0     0%   100%      0.02s   0.2%  runtime.markroot.func1
         0     0%   100%      0.01s   0.1%  runtime.markrootBlock
         0     0%   100%      1.68s 16.77%  runtime.mcall
         0     0%   100%      0.01s   0.1%  runtime.morestack
         0     0%   100%      0.07s   0.7%  runtime.netpollBreak
         0     0%   100%      0.01s   0.1%  runtime.newstack
         0     0%   100%      0.07s   0.7%  runtime.notesleep
         0     0%   100%      0.01s   0.1%  runtime.notetsleep
         0     0%   100%      0.01s   0.1%  runtime.notetsleep_internal
         0     0%   100%      0.12s  1.20%  runtime.notewakeup
         0     0%   100%      1.68s 16.77%  runtime.park_m
         0     0%   100%      0.05s   0.5%  runtime.readyWithTime
         0     0%   100%      0.06s   0.6%  runtime.resetspinning
         0     0%   100%      0.06s   0.6%  runtime.resettimer (inline)
         0     0%   100%      0.01s   0.1%  runtime.scanframeworker
         0     0%   100%      0.02s   0.2%  runtime.scanstack
         0     0%   100%      0.01s   0.1%  runtime.scanstack.func1
         0     0%   100%      0.09s   0.9%  runtime.selectnbrecv
         0     0%   100%      0.01s   0.1%  runtime.semacquire1
         0     0%   100%      0.07s   0.7%  runtime.send
         0     0%   100%      0.12s  1.20%  runtime.startm
         0     0%   100%      0.08s   0.8%  runtime.stopm
         0     0%   100%      0.02s   0.2%  runtime.sweepone
         0     0%   100%      0.02s   0.2%  runtime.sysUnused
         0     0%   100%      0.02s   0.2%  runtime.sysUnusedOS
         0     0%   100%      0.29s  2.89%  runtime.systemstack
         0     0%   100%      0.02s   0.2%  runtime.typedmemclr
         0     0%   100%      0.06s   0.6%  runtime.unlock (inline)
         0     0%   100%      0.06s   0.6%  runtime.unlockWithRank (inline)
         0     0%   100%      0.04s   0.4%  runtime.wakeNetPoller
         0     0%   100%      0.12s  1.20%  runtime.wakep
         0     0%   100%      0.07s   0.7%  runtime.write
         0     0%   100%      0.01s   0.1%  runtime/internal/atomic.(*Pointer[...]).Load
         0     0%   100%      0.40s  3.99%  runtime/internal/syscall.EpollWait
         0     0%   100%      0.03s   0.3%  sync.(*Mutex).Lock (inline)
         0     0%   100%      0.03s   0.3%  sync.(*Mutex).lockSlow
         0     0%   100%      0.09s   0.9%  sync.(*Mutex).unlockSlow
         0     0%   100%      0.01s   0.1%  sync.(*Pool).pinSlow
         0     0%   100%      0.03s   0.3%  sync.(*RWMutex).RLock (inline)
         0     0%   100%      0.04s   0.4%  sync.(*poolChain).popHead
         0     0%   100%      0.01s   0.1%  sync.runtime_SemacquireMutex
         0     0%   100%      0.09s   0.9%  sync.runtime_Semrelease
         0     0%   100%      0.01s   0.1%  sync.runtime_doSpin
         0     0%   100%      2.06s 20.56%  syscall.RawSyscall6
         0     0%   100%      0.76s  7.58%  syscall.SendmsgN
         0     0%   100%      0.75s  7.49%  syscall.Syscall
         0     0%   100%      1.37s 13.67%  syscall.Syscall6
         0     0%   100%      0.76s  7.58%  syscall.sendmsgN
         0     0%   100%      0.06s   0.6%  time.(*Timer).Reset
         0     0%   100%      0.01s   0.1%  time.Time.Add
         0     0%   100%      0.01s   0.1%  time.Time.IsZero
         0     0%   100%      0.01s   0.1%  time.Time.Sub
         0     0%   100%      0.01s   0.1%  time.Until
         0     0%   100%      0.06s   0.6%  time.resetTimer
